CGPA,Attendance,Aptitude_Score,Coding_Score,Communication_Score,Number_of_Projects,Placed,Salary
7.33,78.3,63.3,74.0,68.1,4,0,0
8.57,85.4,75.4,62.6,66.5,1,1,410000
7.1,64.8,50.7,70.6,64.7,1,1,370000
7.15,71.4,86.1,100.0,66.6,0,1,400000
6.8,87.1,64.6,65.9,62.5,3,1,350000
8.38,84.0,43.4,29.9,63.7,0,0,0
8.33,82.0,63.5,67.9,70.7,2,1,480000
5.32,85.5,72.3,76.0,58.8,5,0,0
6.52,69.0,76.5,88.4,77.6,5,1,420000
7.18,73.5,53.5,90.5,96.2,2,1,500000
7.14,82.2,81.6,46.6,67.9,3,0,0
5.39,93.5,53.6,64.0,70.4,2,1,380000
7.48,69.4,52.7,50.5,78.2,3,0,0
7.81,81.7,81.3,77.9,74.1,0,1,380000
6.29,88.9,53.8,63.0,36.1,5,0,0
7.17,65.1,53.5,56.4,65.4,3,0,0
7.55,80.7,60.8,28.6,95.0,4,0,0
9.57,69.4,58.6,87.2,63.3,1,1,470000
5.48,75.7,64.5,59.9,68.7,2,0,0
9.14,67.0,63.2,66.5,96.2,0,0,0
7.25,61.7,83.3,56.6,85.5,4,1,380000
8.25,90.5,34.6,27.9,92.7,5,0,0
7.81,88.2,86.7,59.1,53.2,0,1,430000
7.51,83.6,83.9,63.3,68.5,5,1,370000
6.91,74.7,89.6,37.8,80.0,5,1,310000
6.01,81.1,59.8,19.2,60.1,3,0,0
7.78,73.9,78.1,72.2,55.1,5,1,360000
9.15,84.9,61.8,54.4,66.3,0,0,0
7.51,86.5,50.1,66.6,68.0,0,1,340000
5.27,87.0,60.4,58.0,98.5,0,0,0
9.59,71.3,73.7,79.9,73.4,0,1,480000
7.54,80.6,38.5,89.0,72.7,5,1,310000
10.0,71.3,42.6,49.1,77.1,0,1,340000
6.18,74.0,64.9,53.1,54.7,4,0,0
9.18,100.0,73.4,66.2,51.4,1,1,320000
5.15,93.5,47.1,48.8,76.0,5,0,0
6.24,73.9,74.3,54.6,67.7,3,0,0
8.68,90.6,31.7,72.2,71.9,4,1,320000
10.0,79.7,74.3,66.2,66.7,0,1,430000
8.34,73.4,80.6,91.7,64.1,5,1,340000
5.75,77.3,32.3,44.4,94.5,2,0,0
7.93,83.2,53.7,54.8,51.1,1,0,0
6.6,61.9,53.6,59.5,74.1,5,0,0
6.64,83.7,90.8,60.8,62.4,5,1,330000
5.75,85.6,58.2,56.4,91.6,1,0,0
5.32,74.6,57.6,54.4,79.0,0,0,0
8.16,75.9,65.0,69.3,75.9,3,0,0
9.47,77.3,74.8,53.4,84.1,1,1,500000
7.7,78.5,63.9,42.1,94.5,5,0,0
7.85,72.7,66.7,50.7,90.6,1,0,0
8.34,100.0,48.7,90.0,77.4,5,1,390000
7.87,88.4,90.8,20.7,66.1,3,1,310000
6.51,62.6,63.3,64.1,78.4,4,0,0
8.42,78.2,77.4,73.4,68.3,4,1,350000
8.09,79.5,72.9,52.3,85.4,4,1,380000
8.83,74.4,60.3,27.7,63.2,0,0,0
10.0,72.9,49.2,39.4,92.8,4,1,340000
7.05,89.5,54.7,69.6,80.9,3,1,340000
6.36,60.6,55.5,48.8,69.6,2,0,0
8.02,97.0,54.6,49.0,49.0,4,1,300000
4.95,83.6,67.6,48.3,85.6,5,0,0
7.11,77.0,75.5,55.7,59.9,1,1,360000
8.39,81.1,36.2,66.1,83.9,5,1,390000
5.8,72.7,53.7,73.5,83.7,0,1,300000
7.65,73.1,72.7,30.9,51.3,0,0,0
5.42,84.9,42.9,8.4,39.7,3,0,0
6.05,69.6,36.7,58.9,39.4,5,0,0
8.35,71.6,65.3,21.7,65.6,3,1,380000
6.83,74.3,75.9,67.7,68.2,4,1,400000
8.1,82.8,58.6,67.7,73.5,2,1,480000
6.3,77.3,69.2,80.1,86.4,5,1,380000
9.96,82.5,49.8,49.6,81.8,3,1,400000
9.3,60.3,43.3,76.2,50.5,1,1,270000
6.54,80.6,50.2,61.8,56.9,5,0,0
8.19,89.7,79.6,80.1,84.8,4,1,420000
7.24,76.4,37.9,77.4,74.8,2,1,340000
7.75,88.6,66.0,40.5,70.4,2,0,0
8.19,70.3,65.0,53.5,80.2,0,0,0
7.84,65.8,66.0,11.1,71.0,1,0,0
7.6,91.3,92.4,92.0,58.7,2,1,500000
